Razao;Codigo;Setor;Pais de Origem
BUMBLE;B2MB34;Tecnologia;EUA
CABLE ONE INC;C1AB34;Comunicação;EUA
CABOT OIL ;C1OG34;"Petróleo, Gás e Biocombustíveis";EUA
CADENCE DESIGN SYSTEMS INC;C1DN34;Tecnologia;EUA
CAMPBELL SOUP CO;C1PB34;Alimentos;EUA
CAMDEN PROPERTY;C2PT34;Imobiliário;EUA
CANAD NATION;CNIC34;Industrial;Canadá
CANAD PACIFI;CPRL34;Industrial;Canadá
CANON INC;CAJI34;Fotografia;Japão
CAPITAL ONE;CAON34;Serviços Financeiros ;EUA
CAPRI HOLDI;CAPH34;"Comercio – Farmacéutico, diversos";Reino Unido
CARDINAL HEA;C1AH34;Saúde;EUA
CARMAX INC;K1MX34;Varejista de carros;EUA
CARNIVAL COR;C1CL34;Serviços – Viagens;EUA
CARRIER GLOBAL CORPORATION;C1RR34;Industrial;EUA
CARTER’S INC;CRIN34;Comércio – Vestuário ;EUA
CBOE GLOBAL MARKETS INC;C1BO34;Serviços Financeiros ;EUA
CBRE GROUP INC;C1BR34;Imobiliário;EUA
CBS CORP – VIACOMCBS;C1BS34;Telecomunicações;EUA
CDW CORPORATION;C1DW34;Comunicação;EUA
CELANESE CORP;C1NS34;Tecnologia;EUA
CENTENE CORP;C1NC34;Saúde;EUA
CENTERPOINT ;C1NP34;Energia;EUA
CERNER CORP;C1ER34;Tecnologia;EUA
CF INDUSTRIE;C1FI34;Distribuidora;EUA
CH ROBINSON WORLDWIDE INC;C1HR34;Logística;EUA
CHARTER COMM;CHCM34;Comunicação ;EUA
CHECK POINT SOFTWARE TECHNOLOGIES LTD;C1HK34;Tecnologia;EUA
CHINA LIFE INSURANCE CO LTD;L1FC34;Financeiro;China
CHINA MOBILE LTD;C1HL34;Comunicação;Hong Kong
CHINA PETROLEUM & CHEMICAL CORP;C1HI34;Energia;China
CHIPOTLE MEXICAN GRILL INC;C1MG34;Restaurantes & Bares;EUA
CHUBB LTD;C1BL34;Seguros;EUA
CHUNGHWA TELECOM CO LTD;C1HT34;Comunicação;Taiwan
CHURCH DWIGH;CHDC34;Comércio – Produtos de higiene pessoal;EUA
CIGNA CORP;C1IC34;Saúde;EUA
CINCINNATI;CINF34;Serviços Financeiros ;EUA
CINTAS CORP;C1TA34;Serviços;EUA
CISCO;CSCO34;Aparelhos de Rede e Comunicação;EUA
